Video,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,33,34,36,38,39,40,42,44,45,48,51,54,57
001,tattooing,,tattooing,,tattooing,,tattooing,,tattooing,,tattooing,,tattooing,,tattooing,,tattooing,,playing+videogames,,playing+videogames,,playing+videogames,,sitting,,snowing,,filming,sitting,adult+male+speaking,,hugging,hugging,,,,,,,,,,
002,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,
003,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,,smoking,,,smoking,,,smoking,,,tattooing,,drying,,tattooing,,adult+female+singing,,tattooing,,performing,,adult+female+speaking,hugging,dancing,,
004,adult+female+speaking,,,discussing,,,discussing,,,asking,,,discussing,,,discussing,,,asking,,,discussing,,,discussing,,,discussing,,discussing,,discussing,,discussing,,discussing,,discussing,,discussing,discussing,adult+male+speaking,,
005,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,,coaching,coaching,coaching,,coaching,coaching,,,,,,,,,,
007,tattooing,tattooing,tattooing,tattooing,tattooing,kneeling,kneeling,assembling,telephoning,assembling,telephoning,telephoning,telephoning,telephoning,telephoning,telephoning,telephoning,telephoning,telephoning,playing+videogames,squatting,stomping,running,,,,,,,,,,,,,,,,,,,,,
008,hugging,hugging,hugging,hugging,adult+female+speaking,hugging,adult+female+speaking,hugging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,adult+male+singing,adult+male+singing,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,smoking,,,smoking,,,smoking,,,smoking,,,smoking,,,smoking,,,smoking,,,discussing,,,discussing,,,discussing,,discussing,,discussing,,discussing,,discussing,,discussing,,smoking,discussing,discussing,discussing,
012,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,smiling,smiling,smiling,smiling,smiling,smiling,,,,,,,,,,,,,,,,,,,,
013,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,
014,adult+male+speaking,,,adult+male+speaking,,,adult+male+singing,,,adult+male+speaking,,,adult+male+singing,,,adult+male+singing,,,adult+male+speaking,,,adult+male+singing,,,adult+male+singing,,,adult+male+singing,,adult+male+speaking,,adult+male+speaking,,asking,,asking,,adult+male+speaking,,adult+male+speaking,painting,,,
015,discussing,,,hugging,,,hugging,,,hugging,,,hugging,,,hugging,,,hugging,,,discussing,,,discussing,,,discussing,,discussing,,hugging,,hugging,,hugging,,discussing,,hugging,hugging,hugging,hugging,
016,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+speaking,adult+female+singing,adult+female+speaking,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,stacking,stacking,stacking,stacking,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,,,,,,,,,,,,,,,,
017,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,hiking,hiking,adult+female+singing,walking,walking,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,hiking,hiking,hiking,hiking,hiking,,,,,,,,,,,,,,,,,,,,,,
018,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,talking,talking,talking,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+singing,,,,,,,,,,,,,,,,,,,,
019,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,sitting,sitting,adult+female+speaking,,
020,adult+male+speaking,sitting,adult+male+speaking,sitting,sitting,sitting,adult+male+singing,adult+male+singing,stacking,adult+male+singing,adult+male+singing,adult+male+singing,adult+female+speaking,adult+male+singing,adult+female+speaking,adult+male+speaking,adult+male+speaking,adult+male+singing,adult+male+speaking,adult+male+speaking,adult+male+singing,adult+male+singing,adult+male+speaking,adult+male+singing,,,,,,,,,,,,,,,,,,,,
022,knocking,knocking,queuing,running,running,running,running,running,running,running,running,running,running,swinging,swinging,swinging,sitting,bowing,walking,bowing,walking,walking,walking,hugging,,,,,,,,,,,,,,,,,,,,
024,asking,asking,asking,asking,asking,asking,asking,asking,asking,guarding,guarding,guarding,asking,asking,asking,asking,asking,asking,asking,asking,asking,adult+male+speaking,asking,raining,,,,,,,,,,,,,,,,,,,,
025,officiating,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,discussing,,discussing,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,adult+male+speaking,adult+male+speaking,,adult+male+speaking,talking,talking,,talking,talking,talking,,,,,
026,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,standing,adult+male+speaking,adult+male+speaking,adult+male+speaking,standing,standing,,,,,,,,,,,,,,,,,,,,
027,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,sitting,sitting,sitting,sitting,sitting,sitting,sitting,sitting,sitting,sitting,sitting,sitting,sitting,sitting,adult+male+speaking,adult+male+speaking,,,,,,,,,,,,,,,,,,,,
028,playing+videogames,adult+male+speaking,discussing,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,discussing,discussing,discussing,discussing,discussing,discussing,discussing,discussing,discussing,adult+male+speaking,adult+male+speaking,discussing,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,discussing,,,,,,,,,,,,,,,,,,,
029,interviewing,interviewing,interviewing,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,asking,asking,asking,adult+male+speaking,adult+male+speaking,adult+male+speaking,asking,interviewing,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,tattooing,tattooing,tattooing,adult+male+speaking,,,,,,,,,,,,,,,,,,,,
030,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,taping,taping,taping,,
033,sitting,tattooing,tattooing,sitting,sitting,sitting,sitting,sitting,tattooing,sitting,tattooing,tattooing,tattooing,tattooing,tattooing,tattooing,tattooing,tattooing,sitting,tattooing,tattooing,tattooing,tattooing,tattooing,,,,,,,,,,,,,,,,,,,,
035,queuing,,,shopping,,,shopping,,,shopping,,,shopping,,,shopping,,,shopping,,,shopping,,,shopping,,,shopping,,shopping,,shopping,,shopping,,shopping,,shopping,,shopping,shopping,shopping,shopping,
037,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,shaving,,,shaving,,tattooing,,shaving,,hugging,,tattooing,,tattooing,,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,
038,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,talking,,,talking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking,adult+female+speaking
039,bowing,bowing,playing+videogames,playing+videogames,adult+male+speaking,playing+videogames,playing+videogames,bowing,bowing,adult+male+speaking,bowing,bowing,adult+male+speaking,adult+male+speaking,playing+videogames,playing+videogames,playing+videogames,playing+videogames,adult+male+speaking,bowing,stomping,rinsing,stomping,stomping,,,,,,,,,,,,,,,,,,,,
041,asking,asking,asking,asking,interviewing,interviewing,interviewing,interviewing,interviewing,adult+female+singing,interviewing,interviewing,interviewing,interviewing,interviewing,asking,adult+female+singing,adult+female+singing,adult+female+singing,hugging,hugging,adult+female+singing,adult+female+singing,hugging,,,,,,,,,,,,,,,,,,,,
042,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,sitting,,sitting,,sitting,,sitting,,sitting,,sitting,sitting,discussing,,
043,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,asking,adult+male+speaking,asking,asking,adult+male+speaking,asking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,,,,,,,,,,,,,,,,,,,,
044,jogging,,,jogging,,,jogging,,,jogging,,,jogging,,,jogging,,,jogging,,,jogging,,,jogging,,,jogging,,jogging,,jogging,,jogging,,asking,,jogging,,jogging,jogging,asking,,
045,standing,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,officiating,,adult+male+speaking,,officiating,adult+male+speaking,adult+male+speaking,autographing,
047,walking,,,walking,,,adult+male+speaking,,,adult+male+speaking,,,walking,,,walking,,,exiting,,,exiting,,,exiting,,,exiting,,exiting,,hugging,,hugging,,hugging,,hugging,,hugging,hugging,hugging,hugging,
048,tattooing,,,tattooing,,,tattooing,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,adult+female+speaking,,tattooing,,adult+female+speaking,adult+female+speaking,sitting,sitting,
049,cheering,,,cheering,,,filming,,,celebrating,,,filming,,,dancing,,,adult+female+speaking,,,tattooing,,,clapping,,,adult+male+speaking,,dancing,,dancing,,cheering,,wrestling,,cheering,,wrestling,hugging,clapping,,
050,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,hugging,hugging,,
051,talking,talking,talking,talking,talking,closing,closing,opening,opening,pointing,opening,opening,hugging,standing,hugging,closing,closing,hugging,hugging,hugging,hugging,talking,talking,talking,,,,,,,,,,,,,,,,,,,,
052,waving,hugging,sitting,adult+male+speaking,hugging,hugging,hugging,hugging,hugging,hugging,hugging,hugging,hugging,hugging,hugging,hugging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,,,,,,,,,,,,,,,,,,,,
055,telephoning,,,sitting,,,telephoning,,,telephoning,,,telephoning,,,telephoning,,,telephoning,,,telephoning,,,adult+male+speaking,,,adult+male+speaking,,adult+male+speaking,,adult+male+speaking,,telephoning,,telephoning,,telephoning,,telephoning,telephoning,telephoning,telephoning,
056,telephoning,,,tattooing,,,tattooing,,,tattooing,,,tattooing,,,tattooing,,,tattooing,,,tattooing,,,tattooing,,,tattooing,,tattooing,,tattooing,,tattooing,,tattooing,,tattooing,,tattooing,tattooing,sitting,sitting,sitting
057,talking,talking,talking,adult+male+speaking,talking,talking,talking,talking,adult+male+speaking,adult+male+speaking,talking,talking,talking,talking,talking,talking,talking,talking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,adult+male+speaking,,,,,,,,,,,,,,,,,,,,
059,discussing,,,discussing,,,discussing,,,smoking,,,smoking,,,discussing,,,discussing,,,discussing,,,tattooing,,,tattooing,,tattooing,,tattooing,,discussing,,discussing,,discussing,,discussing,discussing,discussing,adult+male+speaking,
060,adult+female+speaking,,,adult+female+speaking,,,adult+female+speaking,,,sitting,,,adult+female+speaking,,,sitting,,,sitting,,,smoking,,,smoking,,,smoking,,smoking,,smoking,,smoking,,smoking,,smoking,,smoking,smoking,smoking,,
061,sitting,,,sitting,,,sitting,,,tattooing,,,tattooing,,,sitting,,,sitting,,,sitting,,,sitting,,,eating,,sitting,,sitting,,sitting,,drinking,,sitting,,sitting,sitting,sitting,sitting,
062,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,sitting,,,autographing,,sitting,,shaving,,tattooing,,shaving,,shaving,,shaving,shaving,autographing,roaring,
063,celebrating,,,celebrating,,,celebrating,,,celebrating,,,celebrating,,,celebrating,,,dancing,,,painting,,,dancing,,,dancing,,dancing,,hugging,,sitting,,dancing,,hugging,,hugging,hugging,hugging,hugging,
064,sitting,,,sitting,,,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,,adult+female+singing,,adult+female+singing,,adult+female+singing,,adult+female+singing,,adult+female+speaking,,adult+female+singing,,adult+female+singing,adult+female+singing,adult+female+singing,adult+female+speaking,
